,Product name
product_40,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 5G, Black"
product_41,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green"
product_42,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green"
product_43,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black"
product_44,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple"
product_45,"Telefon mobil Samsung Galaxy S22, Dual SIM, 256GB, 8GB RAM, 5G, Phantom Black"
product_46,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue"
product_47,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 512GB, 12GB RAM, 5G, Phantom Black"
product_48,"Telefon mobil S22 Ultra, Dual SIM, 64GB, 4GB RAM, 4G, 6.7'', Negru"
product_49,"Telefon mobil Oppo Reno 6, Dual SIM, 128GB, 8GB RAM, 5G, Stellar Black"
product_50,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black"
product_51,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey"
product_52,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green"
product_53,"Telefon mobil Motorola Moto g32, Dual SIM, 128GB, 6GB RAM, 4G, Mineral Grey"
product_54,"Telefon mobil S23, Dual SIM, 64GB, 4GB RAM, 4G, 6.8inch, Negru"
product_55,"Telefon mobil Xiaomi Redmi 12C, 4GB RAM, 128GB, 4G, Graphite Gray"
product_56,"Telefon mobil Samsung Galaxy S22, Dual SIM, 128GB, 8GB RAM, 5G, Phantom Black"
product_57,"Telefon mobil MaxCom Comfort MM 426, Dual SIM, Black + Stand incarcare"
product_58,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver"
product_59,"Telefon mobil Xiaomi Redmi Note 12 Pro+, 8GB RAM, 256GB, 5G Midnight Black"
product_60,"Telefon mobil Allview L 801, Negru inchis"
product_61,"Telefon mobil Nokia 150 (2023), Dual SIM, Blue"
